"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_1210";1;"100uF";;;
2;"C2";"C_0805_2012Metric";1;"0.01uF";;;
3;"C3";"C_1210";1;"0.22uF";;;
4;"Cc1";"C_0805_2012Metric";1;"22nF";;;
5;"Cs1";"C_0805_2012Metric";1;"360pF";;;
6;"D1";"SMAF";1;"ES1JF";;;
7;"J1,J2,J3";"Header_MA02-Edge-3.2";3;"CONN_01X02";;;
8;"Q1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"AO4294";;;
9;"R1";"R_0805";1;"10M";;;
10;"R3";"R_0805";1;"69.8k";;;
11;"Rc1";"R_0805";1;"4.7k";;;
12;"Rf1";"R_0805";1;"100k";;;
13;"Rs1";"R_1206";1;"249";;;
14;"U1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"3478";;;
15;"T1";"nixiemisc-WE-FLEX_ER11_5";1;"MagTop-HVSMPS";;;
16;"R2";"R_0805";1;"15k";;;
17;"JP1";"SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm_NoCtYd";1;"Jumper_2_Open";;;
18;"Rs2";"R_1206_3216Metric";1;"0.062";;;
19;"FID1,FID2,FID4,FID3";"Fiducial_0.75mm_Mask1.5mm";4;"Fiducial";;;
